                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.90292,                0.95287,                 1.0478,                0.46223,                0.74802,                 0.5192,                0.35388,                  1.199,                 1.2644,                 1.2084,               0.002377,               0.002377,               0.002377
                     79,                0.85722,                0.91952,                 1.0296,                0.46366,                0.74797,                0.53816,                0.37245,                 1.1931,                 1.2384,                 1.1986,               0.002278,               0.002278,               0.002278
                     80,                0.88748,                0.96304,                 1.0471,                 0.4473,                0.74056,                0.53888,                0.37564,                 1.2005,                 1.2544,                 1.2099,               0.002179,               0.002179,               0.002179
                     81,                0.85376,                0.92437,                 1.0341,                0.45027,                0.74279,                0.52463,                0.36664,                 1.2179,                 1.2708,                  1.203,                0.00208,                0.00208,                0.00208
                     82,                0.86761,                0.91451,                 1.0348,                0.45832,                0.73988,                0.52075,                0.36327,                 1.1945,                 1.2491,                 1.1932,               0.001981,               0.001981,               0.001981
                     83,                0.85487,                0.90001,                 1.0315,                0.45752,                0.71335,                0.53177,                0.37096,                 1.1989,                 1.2684,                 1.1969,               0.001882,               0.001882,               0.001882
                     84,                0.83557,                0.90511,                 1.0208,                0.47511,                0.73324,                0.50667,                0.35557,                 1.2031,                  1.314,                 1.1913,               0.001783,               0.001783,               0.001783
                     85,                0.84762,                0.88652,                 1.0216,                0.45503,                 0.7104,                0.50246,                0.35147,                 1.1914,                 1.3108,                 1.1873,               0.001684,               0.001684,               0.001684
                     86,                0.83873,                0.88602,                 1.0122,                0.45422,                0.70869,                0.50599,                0.35193,                 1.2022,                 1.3167,                 1.2024,               0.001585,               0.001585,               0.001585
                     87,                0.83674,                 0.9072,                 1.0291,                0.47681,                0.67731,                0.50846,                0.35446,                 1.2012,                 1.3221,                 1.2006,               0.001486,               0.001486,               0.001486
                     88,                 0.8344,                0.88148,                 1.0234,                0.48604,                0.68303,                0.52248,                0.36408,                 1.1973,                 1.3023,                 1.2016,               0.001387,               0.001387,               0.001387
                     89,                0.81184,                0.87863,                 1.0106,                0.47171,                0.69714,                 0.5098,                0.34994,                 1.2094,                 1.3249,                  1.215,               0.001288,               0.001288,               0.001288
                     90,                0.82582,                0.89648,                0.99269,                0.43779,                0.72793,                0.49056,                0.33827,                 1.2131,                 1.3563,                 1.2257,               0.001189,               0.001189,               0.001189
                     91,                0.80255,                 0.8765,                0.99386,                0.44842,                 0.6832,                0.50034,                0.34984,                 1.2036,                 1.3249,                 1.2213,                0.00109,                0.00109,                0.00109
                     92,                0.79112,                0.86204,                0.98685,                0.44831,                0.70281,                0.52907,                0.36839,                 1.2029,                 1.2662,                 1.2193,               0.000991,               0.000991,               0.000991
                     93,                0.79339,                0.87515,                0.98861,                0.45139,                0.72011,                0.53357,                0.37084,                 1.2062,                 1.2422,                 1.2144,               0.000892,               0.000892,               0.000892
                     94,                0.78849,                0.85072,                0.97796,                0.45108,                0.74295,                0.52412,                0.36545,                 1.2064,                 1.2826,                 1.2115,               0.000793,               0.000793,               0.000793
                     95,                0.79306,                 0.8479,                0.98288,                0.45227,                0.73872,                0.51324,                0.35858,                 1.1968,                 1.3001,                 1.2059,               0.000694,               0.000694,               0.000694
                     96,                0.76885,                0.82871,                0.96511,                0.44679,                0.74475,                0.51428,                0.35688,                 1.2053,                 1.3123,                 1.2083,               0.000595,               0.000595,               0.000595
                     97,                0.76437,                0.83706,                0.97441,                0.44641,                0.73421,                0.52157,                 0.3668,                 1.1996,                 1.2955,                 1.2093,               0.000496,               0.000496,               0.000496
                     98,                0.75748,                 0.8248,                0.96734,                0.47536,                0.71237,                0.52246,                0.36533,                 1.2017,                 1.2927,                 1.2125,               0.000397,               0.000397,               0.000397
                     99,                0.75287,                0.81518,                0.97741,                0.47546,                0.70778,                   0.52,                0.36469,                 1.2012,                 1.2916,                 1.2087,               0.000298,               0.000298,               0.000298
